LAGUNE,DABOU,AGNEBY-TIASSA,AGBOVILLE,AGBOVILLE,Agboville,
,,,,AGBOVILLE,Azaguié,
,,,,TIASSALÉ,N'douci,
,,,,AGBOVILLE,Rubino,
,,,,SIKENSI,Sikensi,
,,,,TAABO,Taabo,
,,,,TIASSALÉ,Tiassalé,
WOROBA,SEGUELA,BAFING,TOUBA,KORO,Booko,
,,,,KORO,Borotou,
,,,,TOUBA,Guintéguéla,
,,,,OUANINOU,Koonan,
,,,,KORO,Koro,
,,,,OUANINOU,Ouaninou,
,,,,TOUBA,Touba,
SAVANE,KORHOGO,BAGOUE,BOUNDIALI,BOUNDIALI,Boundiali,
,,,,KOUTO,Gbon,
,,,,TENGRÉLA,Kanakono,
,,,,BOUNDIALI,Kasséré,
,,,,KOUTO,Kolia,
,,,,KOUTO,Kouto,
,,,,TENGRÉLA,Tengréla,
LACS,DIMBOKRO,BELIER,TOUMODI,DIDIEVI,Didiévi,
,,,,DJEKANOU,Djèkanou,
,,,,DJEKANOU,Kokoumbo,
,,,,TIÉBISSOU,Tiébissou,
,,,,DIDIEVI,Tie-n'diekro,
,,,,TOUMODI,Toumodi,
WOROBA,SEGUELA,BERE,MANKONO,DIANRA,Dianra,
,,,,KOUNAHIRI,Kongasso,
,,,,KOUNAHIRI,Kounahiri,
,,,,MANKONO,Mankono,
,,,,MANKONO,Sarhala,
,,,,MANKONO,Tiéningboué,
ZANZAN,BONDOUKOU,BOUKANI,BOUNA,BOUNA,Bouna,
,,,,DOROPO,Doropo,
,,,,NASSIAN,Nassian,
,,,,TÉHINI,Téhini,
MONTAGNES,MAN,CAVALLY,GUIGLO,GUIGLO,Guiglo,
,,,,BLOLEQUIN,Bloléquin,
,,,,GUIGLO,Taï,
,,,,TOULÉPLEU,Toulépleu,
DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,Abobo,Abobo
,,,,,Adjamé,Adjamé
,,,,,Anyama,ANYAMA-ADJAME
,,,,,,ANYAMA-AHOUABO
,,,,,,AKEÏKOI
,,,,,,ANYAMA
,,,,,,AZAGUIE-BLIDA
,,,,,,EBIMPE
,,,,,,QUATRE CROIX
,,,,,,THOMASSET
,,,,,,YAPOKOI
,,,,,Attécoubé,Attécoubé
,,,,,Bingerville,ABATTA 
,,,,,,ACHOKOI
,,,,,,ADJAME-BINGERVILLE
,,,,,,ADJIN
,,,,,,AKANDJE
,,,,,,AKOUAI-AGBAN
,,,,,,AKOUAI-SANTAI(OU AKOUAI SANTE)
,,,,,,AKOUEDO-ATTIE
,,,,,,AKOYATE 
,,,,,,ANAN
,,,,,,ANGORANKO
,,,,,, BINGERVILLE
,,,,,,CARRIERE 1
,,,,,,CARRIERE 2
,,,,,,KOFFIKRO
,,,,,,SEBIA-YAO
,,,,,Cocody,Cocody
,,,,,Koumassi,Koumassi
,,,,,Marcory,Marcory
,,,,,Plateau,Plateau
,,,,,Port-bouët,Port-bouët
,,,,,Songon,ABADJIN-DOUMÉ
,,,,,,ABADJI-BIMBRESSO
,,,,,,ABADJIN-KOUTÉ
,,,,,,ABIATÉ 2
,,,,,,ADIAPOTÉ
,,,,,,ADIAPOTO 1
,,,,,,ADIAPOTO 2
,,,,,,AUDOIN ASSANDIN
,,,,,,AUDOUIN-BEUGRETTO
,,,,,,AYÉWAHI
,,,,,,GNANSOHMUN OU ANYAMA DEBARCADAIR 
,,,,,,GODOUMÉ
,,,,,,SONGON-AGBAN
,,,,,,SONGON-AGBAN- ATTIÉ 2
,,,,,,SONGON-DAGBE
,,,,,,SONGON-KASSEMBLE
,,,,,,SONGON-MBRATHE
,,,,,,SONGON-TE
,,,,,Treichville,Treichville
,,,,,Yopougon,Yopougon
DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,ATTIÉGOUAKRO,Attiégouakro,
,,,,YAMOUSSOUKRO,Yamoussoukro,ABOUAKOUASSIKRO
,,,,,,ABOUKRO
,,,,,,AKPESSÉKRO
,,,,,,ALLANGOUA
,,,,,,BEZRO
,,,,,,BONZI
,,,,,,DOUGOUNOUKOUADIOKRO
,,,,,,KAMI
,,,,,,KPOUSSOUSSOU
,,,,,,LOGBAKRO
,,,,,,M'BOUESSOU
,,,,,,NANAN
,,,,,,N'DA KONANKRO
,,,,,,N'GATTAKRO
,,,,,,SAHABO
,,,,,,SÉMAN
,,,,,,YAMOUSSOUKRO
DENGUELE,ODIENNE,FOLON,MINIGNAN,KANIASSO,Goulia,
,,,,KANIASSO,Kaniasso,
,,,,MINIGNAN,Minignan,
,,,,MINIGNAN,Tienko,
